h,m,error_one_0,error_one_1,error_quarter_0,error_quarter_1
0.05,241,-2.9337,-33.68,-5.5839,-44.352
0.025,481,-6.0537,-65.364,-8.4797,-86.224
0.0125,961,-5.5929,-128.74,-15.149,-170.36
0.00625,1921,-8.4864,-255.9,-27.58,-338.53
0.003125,3841,-15.187,-507.23,-53.412,-616.53
