h,m,error_one_0,error_one_1,error_quarter_0,error_quarter_1
0.05,241,-14.661,-36.371,-38.158,-43.121
0.025,481,-29.12,-72.401,-73.96,-85.029
0.0125,961,-57.749,-144.33,-147.93,-163.71
0.00625,1921,-115.33,-288.12,-294.66,-307.02
0.003125,3841,-229.25,-573.99,-574.89,-574.89
