h,m,error_one_0,error_one_1,error_quarter_0,error_quarter_1
0.05,241,-20.529,-39.282,-41.607,-43.893
0.025,481,-39.274,-76.177,-81.329,-86.015
0.0125,961,-75.779,-150.74,-160.1,-171.04
0.00625,1921,-149.96,-298.16,-318.18,-340.86
0.003125,3841,-296.82,-594.46,-617.03,-617.03
