h,m,error_one_0,error_one_1,error_quarter_0,error_quarter_1
0.05,241,-14.186,-37.749,-37.084,-44.134
0.025,481,-27.593,-73.23,-72.412,-87.13
0.0125,961,-50.803,-144.21,-143.51,-171.32
0.00625,1921,-99.811,-286.21,-283.63,-341.3
0.003125,3841,-198.39,-570.34,-566.07,-680.3
