h,m,error_one_0,error_one_1,error_quarter_0,error_quarter_1
0.05,241,-18.752,-37.189,-39.863,-42.358
0.025,481,-37.046,-74.213,-79.189,-85.656
0.0125,961,-73.965,-148.22,-158.43,-167.3
0.00625,1921,-147.57,-296.67,-312.93,-312.93
0.003125,3841,-294.87,-581.16,-582.01,-582.01
